pts,crf_ref,encode_order,intra_qp_ref,intra_total_bits,intra_y_psnr,intra_u_psnr,intra_v_psnr,intra_yuv_psnr,intra_ssim,intra_ssim_db,intra_total_time,poc,inter_qp_ref,inter_total_bits,inter_y_psnr,inter_u_psnr,inter_v_psnr,inter_yuv_psnr,inter_ssim,inter_ssim_db,inter_total_time,ctu_intra_pct,ctu_merge_pct,ctu_skip_pct,ctu_inter_pct
2483333,28,149,3374,383128,38270,43578,43112,39539,955559,13522,45890,149,3034,63928,39867,45916,45335,41307,970525,15305,3140,2.66,58.14,8.81,30.39
2500000,28,150,3375,385648,38273,43639,43096,39547,955553,13522,29560,150,3070,59016,39834,45921,45336,41283,970340,15278,3090,2.65,61.95,6.94,28.46
2516667,28,151,3375,383752,38222,43521,43129,39498,955038,13472,35980,151,3041,62976,39915,45883,45285,41332,970669,15327,2990,4.46,61.31,5.62,28.61
2533333,28,152,3373,382088,38269,43611,43155,39547,955284,13495,44230,152,3169,46640,39656,45824,45231,41124,969391,15141,2970,2.56,60.75,10.06,26.63
2550000,28,153,3374,383072,38281,43636,43188,39564,955468,13513,29740,153,3101,48584,39843,45884,45310,41282,970223,15261,3020,1.82,64.73,6.43,27.02
2566667,28,154,3373,380680,38258,43629,43131,39539,955383,13505,33500,154,3053,56536,39944,45905,45333,41363,970630,15321,2960,2.33,61.95,6.56,29.16
2583333,28,155,3373,381688,38283,43687,43159,39568,955369,13504,46220,155,3056,57536,39984,45899,45314,41390,970823,15350,3220,2.8,62.21,6.3,28.69
2600000,28,156,3369,381008,38315,43706,43194,39599,955738,13540,28090,156,3156,45008,39711,45859,45299,41178,969651,15179,3120,2.04,65.05,7.53,25.38
2616667,28,157,3370,379576,38306,43678,43178,39586,955731,13539,31290,157,3036,52056,39924,45880,45312,41342,970681,15329,3200,1.03,60.17,8.78,30.02
2633333,28,158,3370,379296,38308,43633,43187,39584,955789,13545,51830,158,3026,57592,39987,45886,45308,41389,971024,15380,3170,1.55,59.99,6.53,31.93
2650000,28,159,3367,380032,38400,43665,43147,39652,956367,13602,30350,159,3006,59536,40012,45935,45344,41419,971058,15385,3130,2.17,57.48,7.78,32.57
2666667,28,160,3363,375536,38427,43730,43268,39695,956471,13612,30340,160,3087,42824,39813,46016,45406,41287,970127,15247,3330,1.25,63.39,7.19,28.17
2683333,28,161,3361,374720,38439,43821,43282,39717,956775,13643,42680,161,3029,64056,39915,46084,45458,41379,970681,15328,3220,1.62,51.13,10.63,36.62
2700000,28,162,3360,376400,38462,43813,43300,39736,956951,13660,19840,162,3014,61120,39920,46064,45433,41377,970768,15341,3240,1.39,56.68,8.12,33.81
2716667,28,163,3356,372992,38505,43840,43333,39775,957436,13710,32740,163,3007,81032,39876,46084,45431,41347,970399,15287,3120,3.2,42.51,11.4,42.89
2733333,28,164,3355,371536,38542,43824,43281,39795,957449,13711,41620,164,3050,57848,39710,46029,45368,41207,969396,15142,3340,2.24,57.81,6.28,33.67
2750000,28,165,3352,370168,38531,43896,43382,39808,957625,13729,33280,165,3030,76368,39762,46109,45421,41263,969634,15176,3780,2.45,44.15,11.84,41.56
2766667,28,166,3351,371160,38563,43885,43411,39834,958012,13769,36730,166,3019,77448,39794,46116,45424,41288,969766,15195,3950,2.21,47.45,11.09,39.25
2783333,28,167,3349,369040,38618,43927,43488,39890,958340,13803,34640,167,3031,79888,39783,46129,45409,41279,969677,15182,3950,2.67,44.19,11.9,41.24
2800000,28,168,3344,366152,38710,44005,43483,39968,959228,13896,34360,168,3060,61584,39733,46049,45298,41218,969549,15164,4050,1.38,53.2,10.56,34.86
2816667,28,169,3343,367848,38684,43984,43440,39941,959179,13891,30660,169,3034,79120,39730,46137,45405,41240,969487,15155,3840,2.91,43.85,10.62,42.62
2833333,28,170,3342,366136,38698,43975,43421,39948,959441,13919,46080,170,3021,75416,39755,46126,45365,41252,969833,15205,3820,2.57,48.78,10.02,38.63
2850000,28,171,3340,364752,38733,44031,43526,39994,959816,13959,35460,171,3006,80816,39867,46153,45377,41341,970233,15263,3720,2.37,45.05,11.95,40.63
2866667,28,172,3337,362032,38818,44098,43539,40068,960366,14019,29790,172,3066,59960,39781,46069,45273,41253,970045,15235,3950,1.14,58.91,5.37,34.58
2883333,28,173,3336,362720,38795,44029,43467,40033,960236,14005,48590,173,3007,74648,39880,46155,45359,41349,970428,15291,4220,2.41,48.46,8.69,40.44
2900000,28,174,3336,360512,38810,44084,43487,40054,960392,14022,27840,174,2994,72080,39953,46173,45383,41409,970808,15347,4380,1.29,51.22,9.35,38.14
2916667,28,175,3336,361856,38812,44113,43550,40067,960765,14063,29130,175,2999,82448,39967,46195,45400,41425,971012,15378,4440,2.94,44.48,11.12,41.46
2933333,28,176,3330,360440,38945,44134,43531,40167,961611,14158,40680,176,3046,60528,39882,46129,45335,41345,970814,15348,4440,1.6,54.81,7.3,36.29
2950000,28,177,3330,361232,38902,44234,43664,40163,961199,14112,21600,177,2992,69656,39998,46214,45437,41455,971338,15427,3750,1.48,50.55,9.56,38.41
2966667,28,178,3331,361856,38871,44220,43567,40127,961030,14093,34950,178,2988,73752,40001,46231,45449,41461,971238,15412,3280,2.5,49.41,9.05,39.04
2983333,28,179,3333,362368,38877,44088,43567,40115,961231,14115,47110,179,2998,81032,39983,46183,45431,41439,971123,15394,3280,4.43,42.62,13.46,39.49
3000000,28,180,3330,360576,38917,44198,43568,40159,961323,14125,32620,180,3042,66488,39870,46076,45313,41326,970770,15342,3630,3.91,52.57,9.81,33.71
3016667,28,181,3331,362536,38847,44190,43573,40105,961042,14094,35730,181,3026,76024,39925,46112,45350,41377,970992,15375,3870,3.9,49.02,11.81,35.27
3033333,28,182,3333,363712,38835,44128,43524,40083,961051,14095,38810,182,2995,86344,39911,46126,45357,41368,970960,15370,3580,4.88,43.95,10.97,40.2
3050000,28,183,3333,365152,38812,44126,43534,40066,961002,14090,25330,183,3013,80160,39911,46102,45342,41364,970894,15360,3510,5.4,46.64,12.43,35.53
3066667,28,184,3330,363648,38908,44145,43531,40140,961550,14151,33660,184,3049,66528,39796,46009,45233,41252,970602,15317,3390,5.15,52.61,7.9,34.34
3083333,28,185,3333,362288,38843,44111,43478,40081,961026,14092,43270,185,3022,71344,39880,46098,45318,41337,970985,15374,3500,4.21,52.13,10.45,33.21
3100000,28,186,3333,362848,38843,44074,43574,40088,961329,14126,28500,186,2999,78888,39900,46088,45321,41352,971032,15381,3640,4.81,49.36,9.38,36.45
3116667,28,187,3334,362288,38827,44103,43500,40070,961200,14112,33760,187,2996,84320,39928,46105,45346,41377,971256,15415,3710,5.26,46.27,11.78,36.69
